MyNorth Investment Manager Onboarding Questionnaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page Four: Portfolio Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All information required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part 1: General portfolio details,,Response,,,,,,,,Part 1: General portfolio details,,Response,,,,,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077,,,,Part 1: General portfolio details,,Response,,,Progress,0.076923077
3,Active GICS Sector Limits (+/- benchmark weight),,,,,,,,,3,Active GICS Sector Limits (+/- benchmark weight),,,,,,,,,3,Active GICS Sector Limits (+/- benchmark weight),,,,,,,,,3,Active GICS Sector Limits (+/- benchmark weight),,,,,,,,,3,Active GICS Sector Limits (+/- benchmark weight),,,,,,,,,3,Active GICS Sector Limits (+/- benchmark weight),,,,,,,,,3,Active GICS Sector Limits (+/- benchmark weight),,,,,,,,,3,Active GICS Sector Limits (+/- benchmark weight),,,,,,,,,3,Active GICS Sector Limits (+/- benchmark weight),,,,,,,,,3,Active GICS Sector Limits (+/- benchmark weight),,,,,
4,Ex-ante tracking error target,,,,,,,,,4,Ex-ante tracking error target,,,,,,,,,4,Ex-ante tracking error target,,,,,,,,,4,Ex-ante tracking error target,,,,,,,,,4,Ex-ante tracking error target,,,,,,,,,4,Ex-ante tracking error target,,,,,,,,,4,Ex-ante tracking error target,,,,,,,,,4,Ex-ante tracking error target,,,,,,,,,4,Ex-ante tracking error target,,,,,,,,,4,Ex-ante tracking error target,,,,,
5,Target benchmark outperformance,,,,,,,,,5,Target benchmark outperformance,,,,,,,,,5,Target benchmark outperformance,,,,,,,,,5,Target benchmark outperformance,,,,,,,,,5,Target benchmark outperformance,,,,,,,,,5,Target benchmark outperformance,,,,,,,,,5,Target benchmark outperformance,,,,,,,,,5,Target benchmark outperformance,,,,,,,,,5,Target benchmark outperformance,,,,,,,,,5,Target benchmark outperformance,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part 4: Strategic Asset Allocation,,,,,,,,,,Part 4: Strategic Asset Allocation,,,,,,,,,,Part 4: Strategic Asset Allocation,,,,,Correctly Completed,No,,,,Part 4: Strategic Asset Allocation,,,,,Correctly Completed,No,,,,Part 4: Strategic Asset Allocation,,,,,Correctly Completed,No,,,,Part 4: Strategic Asset Allocation,,,,,Correctly Completed,No,,,,Part 4: Strategic Asset Allocation,,,,,Correctly Completed,No,,,,Part 4: Strategic Asset Allocation,,,,,Correctly Completed,No,,,,Part 4: Strategic Asset Allocation,,,,,Correctly Completed,No,,,,Part 4: Strategic Asset Allocation,,,,,Correctly Completed,No
,Asset classes available on North,Minimum Range,SAA,Maximum Range, Current Weight in Portfolio,Active Weight,,,,,Asset classes available on North,Minimum Range,SAA,Maximum Range, Current Weight in Portfolio,Active Weight,,,,,Asset classes available on North,Minimum Range,SAA,Maximum Range, Current Weight in Portfolio,Active Weight,,,,,Asset classes available on North,Minimum Range,SAA,Maximum Range, Current Weight in Portfolio,Active Weight,,,,,Asset classes available on North,Minimum Range,SAA,Maximum Range, Current Weight in Portfolio,Active Weight,,,,,Asset classes available on North,Minimum Range,SAA,Maximum Range, Current Weight in Portfolio,Active Weight,,,,,Asset classes available on North,Minimum Range,SAA,Maximum Range, Current Weight in Portfolio,Active Weight,,,,,Asset classes available on North,Minimum Range,SAA,Maximum Range, Current Weight in Portfolio,Active Weight,,,,,Asset classes available on North,Minimum Range,SAA,Maximum Range, Current Weight in Portfolio,Active Weight,,,,,Asset classes available on North,Minimum Range,SAA,Maximum Range, Current Weight in Portfolio,Active Weight
,Growth,,,,,,,,,,Growth,,,,,,,,,,Growth,,,,,,,,,,Growth,,,,,,,,,,Growth,,,,,,,,,,Growth,,,,,,,,,,Growth,,,,,,,,,,Growth,,,,,,,,,,Growth,,,,,,,,,,Growth,,,,,
,Australian Equities,0,0.36,0.85,0.36,,,,,,Australian Equities,0,0,0.2,0,,,,,,Australian Equities,,,,,,,,,,Australian Equities,,,,,,,,,,Australian Equities,,,,,,,,,,Australian Equities,,,,,,,,,,Australian Equities,,,,,,,,,,Australian Equities,,,,,,,,,,Australian Equities,,,,,,,,,,Australian Equities,,,,,
,International Equities,0,0.45,0.85,0.45,,,,,,International Equities,0,0,0.2,0,,,,,,International Equities,,,,,,,,,,International Equities,,,,,,,,,,International Equities,,,,,,,,,,International Equities,,,,,,,,,,International Equities,,,,,,,,,,International Equities,,,,,,,,,,International Equities,,,,,,,,,,International Equities,,,,,
,Domestic Property and Infrastructure,0,0.03,0.35,0.17,,,,,,Domestic Property and Infrastructure,0,0,0.2,0,,,,,,Domestic Property and Infrastructure,,,,,,,,,,Domestic Property and Infrastructure,,,,,,,,,,Domestic Property and Infrastructure,,,,,,,,,,Domestic Property and Infrastructure,,,,,,,,,,Domestic Property and Infrastructure,,,,,,,,,,Domestic Property and Infrastructure,,,,,,,,,,Domestic Property and Infrastructure,,,,,,,,,,Domestic Property and Infrastructure,,,,,
,International Property and Infrastructure,,0.14,,,,,,,,International Property and Infrastructure,,0,,,,,,,,International Property and Infrastructure,,,,,,,,,,International Property and Infrastructure,,,,,,,,,,International Property and Infrastructure,,,,,,,,,,International Property and Infrastructure,,,,,,,,,,International Property and Infrastructure,,,,,,,,,,International Property and Infrastructure,,,,,,,,,,International Property and Infrastructure,,,,,,,,,,International Property and Infrastructure,,,,,
,Alternatives,0,0,0.2,0,,,,,,Alternatives,0,0,0.2,0,,,,,,Alternatives,,,,,,,,,,Alternatives,,,,,,,,,,Alternatives,,,,,,,,,,Alternatives,,,,,,,,,,Alternatives,,,,,,,,,,Alternatives,,,,,,,,,,Alternatives,,,,,,,,,,Alternatives,,,,,
,Defensive ,,,,,,,,,,Defensive ,,,,,,,,,,Defensive ,,,,,,,,,,Defensive ,,,,,,,,,,Defensive ,,,,,,,,,,Defensive ,,,,,,,,,,Defensive ,,,,,,,,,,Defensive ,,,,,,,,,,Defensive ,,,,,,,,,,Defensive ,,,,,
,Australian Fixed Interest,0,0,0.19,0,,,,,,Australian Fixed Interest,0,0.59,0.98,0.59,,,,,,Australian Fixed Interest,,,,,,,,,,Australian Fixed Interest,,,,,,,,,,Australian Fixed Interest,,,,,,,,,,Australian Fixed Interest,,,,,,,,,,Australian Fixed Interest,,,,,,,,,,Australian Fixed Interest,,,,,,,,,,Australian Fixed Interest,,,,,,,,,,Australian Fixed Interest,,,,,
,International Fixed Interest ,0,0,0.19,0,,,,,,International Fixed Interest ,0,0.39,0.98,0.39,,,,,,International Fixed Interest ,,,,,,,,,,International Fixed Interest ,,,,,,,,,,International Fixed Interest ,,,,,,,,,,International Fixed Interest ,,,,,,,,,,International Fixed Interest ,,,,,,,,,,International Fixed Interest ,,,,,,,,,,International Fixed Interest ,,,,,,,,,,International Fixed Interest ,,,,,
,Cash (1% minimum required),0.01,0.02,0.2,0.02,,,,,,Cash (1% minimum required),0.01,0.02,1,0.02,,,,,,Cash (1% minimum required),,,,,,,,,,Cash (1% minimum required),,,,,,,,,,Cash (1% minimum required),,,,,,,,,,Cash (1% minimum required),,,,,,,,,,Cash (1% minimum required),,,,,,,,,,Cash (1% minimum required),,,,,,,,,,Cash (1% minimum required),,,,,,,,,,Cash (1% minimum required),,,,,
,Total,,,,,,,,,,Total,,1,,1,,,,,,Total,0,0,0,0,0,,,,,Total,0,0,0,0,0,,,,,Total,0,0,0,0,0,,,,,Total,0,0,0,0,0,,,,,Total,0,0,0,0,0,,,,,Total,0,0,0,0,0,,,,,Total,0,0,0,0,0,,,,,Total,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part 5: Fees,,Response,,,,,,,,Part 5: Fees,,Response,,,,,,,,Part 5: Fees,,Response,,Progress,0,,,,,Part 5: Fees,,Response,,Progress,0,,,,,Part 5: Fees,,Response,,Progress,0,,,,,Part 5: Fees,,Response,,Progress,0,,,,,Part 5: Fees,,Response,,Progress,0,,,,,Part 5: Fees,,Response,,Progress,0,,,,,Part 5: Fees,,Response,,Progress,0,,,,,Part 5: Fees,,Response,,Progress,0,
1,Proposed fee paid by NMMT to the investment manager (exclusive of GST),0.00075,,,,0.00075,,,,1,Proposed fee paid by NMMT to the investment manager (exclusive of GST),0.00075,,,,0.00075,,,,1,Proposed fee paid by NMMT to the investment manager (exclusive of GST),,,,,0,,,,1,Proposed fee paid by NMMT to the investment manager (exclusive of GST),,,,,0,,,,1,Proposed fee paid by NMMT to the investment manager (exclusive of GST),,,,,0,,,,1,Proposed fee paid by NMMT to the investment manager (exclusive of GST),,,,,0,,,,1,Proposed fee paid by NMMT to the investment manager (exclusive of GST),,,,,0,,,,1,Proposed fee paid by NMMT to the investment manager (exclusive of GST),,,,,0,,,,1,Proposed fee paid by NMMT to the investment manager (exclusive of GST),,,,,0,,,,1,Proposed fee paid by NMMT to the investment manager (exclusive of GST),,,,,0
2,"Is there a proposed performance fee? If so:
What is the hurdle rate?
How is it calculated?",No,,,,No,,,,2,"Is there a proposed performance fee? If so:
What is the hurdle rate?
How is it calculated?",No,,,,No,,,,2,"Is there a proposed performance fee? If so:
What is the hurdle rate?
How is it calculated?",,,,,0,,,,2,"Is there a proposed performance fee? If so:
What is the hurdle rate?
How is it calculated?",,,,,0,,,,2,"Is there a proposed performance fee? If so:
What is the hurdle rate?
How is it calculated?",,,,,0,,,,2,"Is there a proposed performance fee? If so:
What is the hurdle rate?
How is it calculated?",,,,,0,,,,2,"Is there a proposed performance fee? If so:
What is the hurdle rate?
How is it calculated?",,,,,0,,,,2,"Is there a proposed performance fee? If so:
What is the hurdle rate?
How is it calculated?",,,,,0,,,,2,"Is there a proposed performance fee? If so:
What is the hurdle rate?
How is it calculated?",,,,,0,,,,2,"Is there a proposed performance fee? If so:
What is the hurdle rate?
How is it calculated?",,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
